"gamecube","All-Star Baseball 2003","none","https://www.metacritic.com/game/gamecube/all-star-baseball-2003",83,8,"Feb 25, 2002"
"gamecube","Harvest Moon: Magical Melody","none","https://www.metacritic.com/game/gamecube/harvest-moon-magical-melody",83,8.8,"Mar 28, 2006"
"gamecube","Metal Arms: Glitch in the System","none","https://www.metacritic.com/game/gamecube/metal-arms-glitch-in-the-system",83,8.6,"Nov 18, 2003"
"gamecube","NHL Hitz 20-03","none","https://www.metacritic.com/game/gamecube/nhl-hitz-20-03",82,8.4,"Sep 16, 2002"
"gamecube","Madden NFL 07","none","https://www.metacritic.com/game/gamecube/madden-nfl-07",82,7.8,"Aug 22, 2006"
"gamecube","X-Men Legends II: Rise of Apocalypse","none","https://www.metacritic.com/game/gamecube/x-men-legends-ii-rise-of-apocalypse",82,6.2,"Sep 20, 2005"
"gamecube","Gladius","none","https://www.metacritic.com/game/gamecube/gladius",82,7.9,"Nov 3, 2003"
"gamecube","NCAA College Basketball 2K3","none","https://www.metacritic.com/game/gamecube/ncaa-college-basketball-2k3",82,,"Dec 2, 2002"
"gamecube","Tiger Woods PGA Tour 06","none","https://www.metacritic.com/game/gamecube/tiger-woods-pga-tour-06",82,5.8,"Sep 20, 2005"
"gamecube","The Lord of the Rings: The Two Towers","none","https://www.metacritic.com/game/gamecube/the-lord-of-the-rings-the-two-towers",82,8.4,"Dec 30, 2002"
"gamecube","NBA Live 2003","none","https://www.metacritic.com/game/gamecube/nba-live-2003",82,8.2,"Oct 8, 2002"
"gamecube","Star Fox Adventures","none","https://www.metacritic.com/game/gamecube/star-fox-adventures",82,7.9,"Sep 22, 2002"
"gamecube","TimeSplitters: Future Perfect","none","https://www.metacritic.com/game/gamecube/timesplitters-future-perfect",82,8.5,"Mar 21, 2005"
"gamecube","Tony Hawk's Underground 2","none","https://www.metacritic.com/game/gamecube/tony-hawks-underground-2",82,8.4,"Oct 4, 2004"
"gamecube","Tom Clancy's Splinter Cell Chaos Theory","none","https://www.metacritic.com/game/gamecube/tom-clancys-splinter-cell-chaos-theory",81,8.1,"Mar 31, 2005"
